DATE,DAY_OF_THE_WEEK,MONTH,SEASON,ACTIVITY_steps,ACTIVITY_distance,ACTIVITY_soft,ACTIVITY_moderate,ACTIVITY_intense,ACTIVITY_hr_average,ACTIVITY_hr_min,ACTIVITY_hr_max,SLEEP_totalsleeptime,SLEEP_durationtosleep,SLEEP_hr_average,SLEEP_hr_min,SLEEP_hr_max,SLEEP_wakeupcount,SLEEP_wakeupduration
06.07.21,1,6,0,5103,4076,12840,840,0,76,58,139,25920,120,61,56,72,4,2040
07.07.21,2,6,0,6021,5079,9962,2100,60,80,50,166,25020,120,61,56,80,3,2100
08.07.21,3,6,0,898,711,5160,0,0,85,70,174,15000,120,74,70,80,2,1020
09.07.21,4,6,0,7115,6152,12662,2640,0,76,49,105,17100,600,68,61,75,2,1440
10.07.21,5,6,0,12784,11082,10799,7740,0,81,59,168,31500,120,61,48,70,3,1500
11.07.21,6,6,0,8907,7572,13382,4260,900,74,49,168,16080,120,65,54,71,1,660
12.07.21,0,6,0,7179,5822,10381,2100,60,71,52,117,13320,120,61,56,68,0,1320
13.07.21,1,6,0,5800,4989,10020,1740,0,75,48,160,11940,120,70,65,77,0,120
14.07.21,2,6,0,5883,4792,9600,1740,0,76,57,165,22740,120,58,53,70,1,840
15.07.21,3,6,0,5570,4588,9061,1618,0,78,55,147,16680,120,72,56,148,2,1680
16.07.21,4,6,0,9493,8395,10138,4560,0,72,46,122,14640,120,67,57,108,2,1380
17.07.21,5,6,0,6119,5349,11881,720,600,84,54,176,32640,120,68,59,82,4,2760
18.07.21,6,6,0,4760,3763,4680,2400,0,75,55,176,28920,120,65,56,73,1,780
19.07.21,0,6,0,5164,4147,10981,900,60,71,47,110,12540,120,64,55,90,3,1860
20.07.21,1,6,0,5939,4807,12900,1320,0,74,59,189,26340,120,64,56,76,3,2280
21.07.21,2,6,0,6736,5376,12482,1620,0,73,52,125,25680,120,65,57,83,2,1380
22.07.21,3,6,0,5937,4719,12240,1380,0,70,53,112,13980,180,61,57,78,1,720
23.07.21,4,6,0,6768,5490,9541,2640,0,75,54,121,19020,120,61,52,71,3,1200
24.07.21,5,6,0,5786,4761,10323,1380,0,77,54,139,,,,,,,
25.07.21,6,6,0,6697,6025,11761,1920,780,85,59,190,28140,180,63,54,86,3,1620
26.07.21,0,6,0,5134,4191,11521,1079,0,72,56,89,22380,120,62,56,79,2,660
27.07.21,1,6,0,8617,6979,13261,2820,0,74,61,139,15000,120,60,54,71,3,1380
28.07.21,2,6,0,5599,4551,10862,1379,0,70,55,122,19980,180,58,51,77,2,1620
29.07.21,3,6,0,6032,4878,13981,900,0,70,44,100,18840,600,62,53,67,2,2160
30.07.21,4,6,0,8265,7044,7021,4200,0,83,49,125,22800,120,70,60,91,5,3120
31.07.21,5,6,0,5582,4500,8822,2340,0,86,68,124,46020,120,67,60,76,5,3000
