DATE,DAY_OF_THE_WEEK,MONTH,SEASON,ACTIVITY_steps,ACTIVITY_distance,ACTIVITY_soft,ACTIVITY_moderate,ACTIVITY_intense,ACTIVITY_hr_average,ACTIVITY_hr_min,ACTIVITY_hr_max,SLEEP_totalsleeptime,SLEEP_durationtosleep,SLEEP_hr_average,SLEEP_hr_min,SLEEP_hr_max,SLEEP_wakeupcount,SLEEP_wakeupduration
06.07.21,1,6,0,10337,7741,17818,2042,0,80,67,106,23760,600,62,54,82,1,2880
07.07.21,2,6,0,10811,8263,23640,2340,1260,81,44,141,29100,120,63,56,86,4,2760
08.07.21,3,6,0,7456,5717,18240,240,2760,67,58,95,31680,180,69,58,136,3,2280
09.07.21,4,6,0,12711,9481,35580,1261,0,88,55,130,35820,0,61,49,97,2,2640
10.07.21,5,6,0,9272,6918,31864,60,1740,84,58,148,,,,,,,
11.07.21,6,6,0,13227,10014,28681,2879,899,99,47,128,17820,240,,,,1,840
12.07.21,0,6,0,7413,5444,18422,720,0,105,71,168,26640,900,67,56,141,1,1680
13.07.21,1,6,0,8194,6073,28322,60,0,83,54,137,19860,300,68,61,81,1,780
14.07.21,2,6,0,13938,10384,33181,1020,0,79,55,123,19380,120,59,50,87,2,2100
15.07.21,3,6,0,10128,7726,25563,1439,0,80,58,121,34500,120,56,45,75,1,1020
16.07.21,4,6,0,10941,8193,30422,300,540,90,54,139,30060,120,66,56,90,1,2400
17.07.21,5,6,0,14105,10537,33060,1440,0,77,54,134,22020,180,60,54,117,0,180
18.07.21,6,6,0,11173,8473,29821,840,2701,90,50,137,21960,120,62,56,104,2,3000
19.07.21,0,6,0,9127,6907,20340,2102,0,85,60,130,28620,240,61,54,70,1,1260
20.07.21,1,6,0,8013,5812,20222,720,1440,81,53,129,37500,240,61,49,105,2,1680
21.07.21,2,6,0,13856,10411,31597,1860,0,81,54,160,27540,120,63,58,80,1,1500
22.07.21,3,6,0,12675,9419,28561,1440,0,51,49,58,35220,120,56,48,69,3,2040
23.07.21,4,6,0,10100,7479,28740,720,0,89,58,140,32280,120,56,51,72,3,3960
24.07.21,5,6,0,12516,9379,35041,420,0,65,58,75,30540,120,67,56,113,6,5820
25.07.21,6,6,0,11710,8663,32701,1140,2160,91,50,147,28020,120,62,55,82,2,2460
26.07.21,0,6,0,4890,3655,12420,540,0,90,73,142,36780,120,81,62,140,1,3600
27.07.21,1,6,0,6916,5302,15780,720,0,105,70,197,34320,120,72,57,120,2,3180
28.07.21,2,6,0,12842,9659,29342,1560,0,90,45,126,32580,240,69,56,86,2,1380
29.07.21,3,6,0,7945,5901,21843,360,0,89,62,132,31800,120,67,58,113,1,1200
30.07.21,4,6,0,13899,10359,34501,540,720,92,58,138,32880,120,63,58,71,1,1080
31.07.21,5,6,0,11974,8938,31981,361,720,88,56,131,37140,120,65,57,91,2,2040
01.08.21,6,7,0,9470,7182,17700,2760,0,84,49,130,18060,120,74,64,80,1,480
02.08.21,0,7,0,9455,7098,18238,1142,960,79,58,137,35220,120,59,50,75,4,3420
03.08.21,1,7,0,6387,4631,18721,120,0,73,45,112,29160,180,59,50,89,3,4800
04.08.21,2,7,0,9931,7694,23700,1680,0,75,54,108,25920,120,,,,0,1020
05.08.21,3,7,0,10039,7480,23641,1259,0,98,80,123,35220,120,58,51,86,2,3900
06.08.21,4,7,0,12838,9558,31140,540,1740,78,50,130,36600,240,62,52,98,3,3060
07.08.21,5,7,0,9376,7074,24542,660,0,84,60,151,25080,120,63,57,88,2,1920
08.08.21,6,7,0,9553,7096,29942,359,840,83,63,136,35400,180,58,52,66,0,180
09.08.21,0,7,0,6287,4746,12481,960,0,67,67,67,27960,1680,65,52,88,1,2580
10.08.21,1,7,0,13161,10262,31440,1202,660,99,50,188,35280,120,60,55,77,1,1320
11.08.21,2,7,0,9523,7023,29641,540,0,83,56,140,13440,120,62,59,69,2,2400
12.08.21,3,7,0,11874,8959,32639,900,0,93,53,144,31740,120,56,51,66,1,1860
13.08.21,4,7,0,9221,6747,26880,840,0,87,53,146,20580,120,71,65,87,0,120
14.08.21,5,7,0,8422,6216,26821,300,0,77,45,130,38760,120,53,44,86,2,1320
15.08.21,6,7,0,11401,8331,30599,481,900,91,66,141,28200,120,65,58,78,2,1740
16.08.21,0,7,0,4165,2991,12839,121,0,69,40,147,,,,,,,
17.08.21,1,7,0,,,,,,,,,,,,,,,
18.08.21,2,7,0,7329,5429,10982,2639,660,,,,,,,,,,
19.08.21,3,7,0,9127,6762,30361,360,0,97,54,164,39060,120,61,55,75,1,360
20.08.21,4,7,0,3893,2822,12362,120,0,76,62,99,43920,120,65,55,111,3,1980
21.08.21,5,7,0,6484,4749,16501,300,0,82,55,192,37200,1440,63,55,112,2,4620
22.08.21,6,7,0,2856,2066,8160,120,0,79,52,114,37140,119,63,55,116,0,1079
23.08.21,0,7,0,7888,5887,20219,840,4440,62,60,66,39481,120,70,60,155,4,5099
24.08.21,1,7,0,8036,5957,19742,899,0,91,64,139,36780,240,65,60,76,1,1260
25.08.21,2,7,0,7697,5679,20282,419,1860,92,54,149,37440,120,68,50,91,3,2580
26.08.21,3,7,0,7781,5796,19680,720,480,86,64,130,36840,120,67,61,87,2,2760
27.08.21,4,7,0,2381,1743,7741,0,0,90,55,140,,,,,,,
28.08.21,5,7,0,3516,2492,10200,120,0,135,135,135,34200,240,73,63,97,5,6300
29.08.21,6,7,0,5731,4201,20702,240,0,86,59,187,31500,120,60,52,89,2,1260
30.08.21,0,7,0,7488,5462,23881,419,0,87,61,120,43920,120,59,52,112,3,2520
31.08.21,1,7,0,6027,4356,17880,300,0,75,49,161,19620,120,64,57,73,0,1140
01.09.21,2,8,0,6589,4781,16564,120,1020,74,52,128,28020,120,60,54,68,1,720
02.09.21,3,8,0,11010,8163,26640,480,1200,86,42,165,,,,,,,
03.09.21,4,8,0,6042,4595,13380,960,0,79,49,155,32220,120,65,56,109,4,2820
04.09.21,5,8,0,11808,8896,20221,4201,2340,82,53,167,39840,120,58,51,78,2,1920
05.09.21,6,8,0,42818,42053,17403,2819,19740,102,39,186,,,,,,,
06.09.21,0,8,0,7014,5339,16681,1860,0,87,64,138,38520,120,66,55,127,1,1620
07.09.21,1,8,0,6060,4557,14402,840,0,67,52,83,44580,120,61,51,76,4,3540
08.09.21,2,8,0,6157,4680,16860,300,0,83,41,113,36900,120,62,57,92,1,1380
09.09.21,3,8,0,8864,6450,21722,1260,0,82,49,132,35280,1020,62,51,83,1,2880
10.09.21,4,8,0,10591,8082,18240,3480,0,84,59,171,35940,120,66,57,82,1,1860
11.09.21,5,8,0,9148,7255,14760,3660,240,77,36,173,27360,360,65,58,82,1,2040
12.09.21,6,8,0,6149,4493,14761,300,0,76,48,111,33900,120,64,57,81,6,5700
13.09.21,0,8,0,7600,5919,16982,1800,0,93,52,150,48720,120,65,59,81,2,2520
14.09.21,1,8,0,7376,5443,25381,420,0,83,45,170,,,,,,,
15.09.21,2,8,0,4381,3463,7560,1500,0,84,57,115,29580,120,80,72,95,2,1560
16.09.21,3,8,0,8301,6185,18000,720,0,85,57,155,47520,120,71,57,87,1,1380
17.09.21,4,8,0,9471,7117,23762,720,840,93,62,152,31080,120,75,64,96,2,2040
18.09.21,5,8,0,4452,3278,10080,420,0,75,52,123,16740,120,64,60,74,0,360
19.09.21,6,8,0,6679,4838,21360,180,0,74,60,112,49380,120,63,59,70,4,3540
20.09.21,0,8,0,8202,6161,22502,540,2640,78,60,106,25860,120,62,55,72,1,600
21.09.21,1,8,0,6520,4873,25320,481,1020,80,46,148,,,,,,,
22.09.21,2,8,1,6127,4469,18721,120,0,87,47,145,29100,240,84,68,152,1,1380
23.09.21,3,8,1,5791,4479,10925,2100,0,75,55,124,33480,120,67,60,80,0,540
24.09.21,4,8,1,5215,3807,13921,180,0,79,51,113,14580,120,59,51,64,5,3960
25.09.21,5,8,1,7268,5260,17099,721,0,81,41,145,35580,120,60,52,67,2,1620
26.09.21,6,8,1,4509,3238,9001,360,0,72,59,128,42120,180,59,53,76,2,2280
27.09.21,0,8,1,5231,3803,12780,240,0,73,58,104,27720,420,56,52,61,0,420
28.09.21,1,8,1,7165,5295,17102,420,540,79,57,141,,,,,,,
29.09.21,2,8,1,7530,5640,18001,600,900,69,58,82,29460,120,62,54,83,1,2100
30.09.21,3,8,1,6682,4795,20341,300,0,75,40,147,,,,,,,
01.10.21,4,9,1,10312,7561,34740,300,0,77,42,138,14580,120,82,75,98,3,1680
02.10.21,5,9,1,9800,7232,26462,599,0,97,48,154,35460,120,76,66,134,2,2520
03.10.21,6,9,1,8893,6593,31566,658,600,104,48,149,24000,660,75,57,135,3,2580
04.10.21,0,9,1,5390,3943,21120,120,0,78,53,105,44160,120,60,56,67,1,1320
05.10.21,1,9,1,7001,5176,21121,480,0,74,51,134,,,,,,,
06.10.21,2,9,1,4673,3440,20400,120,0,77,62,130,41160,120,59,53,71,2,3300
07.10.21,3,9,1,5704,4233,15120,300,0,78,57,121,39180,120,60,54,83,1,1320
08.10.21,4,9,1,3460,2521,11520,300,0,73,58,114,41460,120,62,54,73,1,720
09.10.21,5,9,1,9750,7255,25022,960,0,83,56,120,26160,120,64,58,85,1,1920
10.10.21,6,9,1,5293,3980,18243,180,1260,79,62,146,40320,120,59,54,72,1,2460
11.10.21,0,9,1,4977,3828,14280,1200,0,73,53,115,36120,120,64,57,82,1,3420
12.10.21,1,9,1,7479,5450,21600,420,0,77,51,119,35040,120,67,56,85,3,3960
13.10.21,2,9,1,9853,7674,19142,2700,0,60,54,69,36780,240,62,53,71,2,2580
