DATE,DAY_OF_THE_WEEK,MONTH,SEASON,ACTIVITY_steps,ACTIVITY_distance,ACTIVITY_soft,ACTIVITY_moderate,ACTIVITY_intense,ACTIVITY_hr_average,ACTIVITY_hr_min,ACTIVITY_hr_max,SLEEP_totalsleeptime,SLEEP_durationtosleep,SLEEP_hr_average,SLEEP_hr_min,SLEEP_hr_max,SLEEP_wakeupcount,SLEEP_wakeupduration
06.07.21,1,6,0,977,782,4622,0,0,65,57,87,26340,120,62,57,79,4,1560
07.07.21,2,6,0,9221,8721,5760,4380,2520,89,48,176,17820,120,65,58,81,0,1380
08.07.21,3,6,0,11351,10458,6840,4800,2940,94,45,178,21720,1380,65,43,93,1,3600
09.07.21,4,6,0,16521,14920,13620,4622,5100,94,45,169,21000,900,66,60,73,0,0
10.07.21,5,6,0,9342,8112,14700,3660,179,84,57,116,21360,480,62,55,78,3,1500
11.07.21,6,6,0,20598,18171,11340,13380,0,86,48,117,25440,120,62,53,72,1,960
12.07.21,0,6,0,3541,2971,6901,1439,0,73,48,109,24720,540,62,55,93,3,1920
13.07.21,1,6,0,10292,9305,4980,4620,0,79,46,124,26100,120,60,54,68,1,1440
14.07.21,2,6,0,8091,7610,5820,3840,0,77,50,112,21120,120,73,45,186,1,1500
15.07.21,3,6,0,6162,5720,7260,2760,0,79,52,115,21900,120,61,34,76,2,2160
16.07.21,4,6,0,9580,7645,17291,2340,0,83,52,107,26100,120,61,51,82,2,1320
17.07.21,5,6,0,13581,11157,20642,3060,240,70,60,82,23820,120,67,60,73,0,120
18.07.21,6,6,0,17328,14059,24961,4800,0,88,62,178,23100,180,64,55,74,0,180
19.07.21,0,6,0,4338,3657,8582,1560,0,75,54,111,18420,840,63,55,99,1,1140
20.07.21,1,6,0,6657,5853,6300,2940,0,84,59,186,34260,120,60,54,78,2,1860
21.07.21,2,6,0,12412,11458,5581,7441,0,81,47,129,17100,2040,63,56,88,1,1080
22.07.21,3,6,0,10874,10008,6720,5340,0,83,41,126,23700,1500,62,55,83,1,1440
23.07.21,4,6,0,11078,9959,8583,4920,0,81,54,127,17820,120,60,56,71,1,1860
24.07.21,5,6,0,24488,20995,29040,6900,60,90,48,149,13260,2040,68,59,77,1,480
25.07.21,6,6,0,13262,10922,12000,5700,600,81,49,139,31020,120,63,54,72,0,120
26.07.21,0,6,0,5610,5213,6001,2940,0,79,56,125,22980,120,61,55,83,2,660
27.07.21,1,6,0,4723,4172,8641,1320,240,77,44,170,24120,480,61,52,80,1,540
28.07.21,2,6,0,6276,5499,6662,2519,0,76,44,116,23160,120,61,53,70,0,1440
29.07.21,3,6,0,7739,6801,7380,3240,0,79,44,133,20520,120,60,53,75,1,1080
30.07.21,4,6,0,11379,9956,11040,4620,0,78,44,126,22320,240,61,53,91,0,900
31.07.21,5,6,0,23268,21381,13261,14401,600,87,51,129,15000,480,63,53,80,0,1380
01.08.21,6,7,0,23643,20977,15662,12840,0,,,,30540,120,65,57,84,1,1080
02.08.21,0,7,0,32302,29484,10801,21960,0,87,63,120,28980,120,62,55,87,1,1380
03.08.21,1,7,0,24216,21431,13444,12119,0,85,47,162,31981,1260,63,54,88,4,5399
04.08.21,2,7,0,20851,18030,16322,10018,0,80,44,181,13680,120,64,56,71,2,960
05.08.21,3,7,0,19313,16203,13981,9481,0,79,54,119,30840,120,61,55,71,2,960
06.08.21,4,7,0,23307,20922,12481,14220,0,83,43,128,22800,120,58,53,65,2,1140
07.08.21,5,7,0,21375,17784,18722,8700,780,80,44,123,15660,120,63,57,72,0,300
08.08.21,6,7,0,13839,11674,13263,5759,0,81,52,191,27180,120,60,52,72,0,300
09.08.21,0,7,0,12586,11052,13140,5520,0,83,53,123,22800,120,59,52,67,1,600
10.08.21,1,7,0,4127,3533,9300,1380,0,75,48,101,29700,180,61,53,101,1,780
11.08.21,2,7,0,8291,7215,9001,3000,0,87,50,126,29100,120,58,50,88,2,2640
12.08.21,3,7,0,10114,9011,10022,4560,600,81,50,124,22560,120,63,55,88,1,1380
13.08.21,4,7,0,6631,5745,12119,1862,0,77,50,129,,,,,,,
14.08.21,5,7,0,24168,20358,27542,10200,0,98,60,144,21480,180,63,54,109,0,180
15.08.21,6,7,0,8576,6946,25021,540,1260,83,40,143,13620,120,65,60,78,1,1080
16.08.21,0,7,0,7020,6186,8280,2580,0,73,55,111,27240,120,57,50,85,2,2400
17.08.21,1,7,0,7543,6663,6900,2520,0,76,43,168,19680,120,57,53,61,1,1740
18.08.21,2,7,0,10589,9338,8162,4680,0,82,45,137,,,,,,,
19.08.21,3,7,0,1399,1142,7862,0,301,80,54,105,26400,240,63,55,92,2,1800
20.08.21,4,7,0,9649,8242,11520,4680,0,83,61,112,27000,240,62,55,80,0,1080
21.08.21,5,7,0,10877,8833,18182,3000,0,86,67,166,15780,120,64,57,77,1,4140
22.08.21,6,7,0,14516,12382,8281,9120,0,85,51,110,29760,120,61,54,75,2,1920
23.08.21,0,7,0,2921,2360,10380,300,0,83,64,168,27060,120,61,55,74,0,480
24.08.21,1,7,0,2822,2703,5520,360,900,86,52,138,,,,,,,
25.08.21,2,7,0,7084,6311,10320,1980,1680,89,67,175,23160,120,66,55,81,2,1080
26.08.21,3,7,0,6416,5589,10680,1740,840,82,40,181,,,,,,,
27.08.21,4,7,0,10146,9198,9121,4139,2340,95,48,188,22020,120,63,52,87,0,1020
28.08.21,5,7,0,12894,11571,11460,7440,0,88,44,184,25380,120,64,53,74,2,1560
29.08.21,6,7,0,17808,15983,8041,10680,0,81,52,137,19560,0,64,56,75,1,840
30.08.21,0,7,0,5065,4168,9540,1020,0,77,47,100,32580,120,62,55,74,2,1020
31.08.21,1,7,0,2127,1749,7380,300,0,78,46,121,18900,120,61,56,99,1,660
01.09.21,2,8,0,7871,7174,6960,3180,2220,86,50,189,23460,120,61,53,77,0,840
02.09.21,3,8,0,6630,5742,7979,1860,2340,84,44,170,15420,120,65,60,80,0,1261
03.09.21,4,8,0,8610,7955,11281,3179,2580,85,45,163,,,,,,,
04.09.21,5,8,0,3016,2476,9301,360,660,78,49,106,21360,120,66,61,84,3,2040
05.09.21,6,8,0,4351,3872,11100,1560,0,78,68,75,31920,120,63,53,76,4,2340
06.09.21,0,8,0,1403,1180,7382,59,960,76,46,101,28560,120,60,55,77,4,2700
07.09.21,1,8,0,1296,1040,6000,0,0,79,64,107,18840,120,64,57,70,1,720
08.09.21,2,8,0,5836,5530,6721,1680,2640,90,63,193,24480,120,63,57,75,2,1560
09.09.21,3,8,0,4331,3661,6960,1380,0,79,61,151,21300,120,64,58,75,0,240
10.09.21,4,8,0,9450,8868,8339,5101,0,81,51,132,29400,120,64,55,75,1,720
11.09.21,5,8,0,17060,15562,9662,12120,0,81,48,132,21480,240,63,55,74,0,300
12.09.21,6,8,0,15081,12941,10441,7680,0,89,52,140,31800,120,64,55,77,4,3360
