DATE,DAY_OF_THE_WEEK,MONTH,SEASON,ACTIVITY_steps,ACTIVITY_distance,ACTIVITY_soft,ACTIVITY_moderate,ACTIVITY_intense,ACTIVITY_hr_average,ACTIVITY_hr_min,ACTIVITY_hr_max,SLEEP_totalsleeptime,SLEEP_durationtosleep,SLEEP_hr_average,SLEEP_hr_min,SLEEP_hr_max,SLEEP_wakeupcount,SLEEP_wakeupduration
06.07.21,1,6,0,10378,8590,13500,2881,3000,48,45,53,28800,120,49,43,57,0,480
07.07.21,2,6,0,15234,14374,16742,1860,3300,85,55,199,26400,180,48,43,57,1,840
08.07.21,3,6,0,15553,13203,16777,4920,2460,81,49,163,24720,120,53,46,67,1,1080
09.07.21,4,6,0,15872,12990,16322,4619,1320,75,53,199,26160,180,47,40,56,0,240
10.07.21,5,6,0,14422,10776,24662,2760,1560,79,39,128,33000,120,49,41,56,1,600
11.07.21,6,6,0,16519,12840,15002,7620,0,76,49,151,26340,180,65,48,81,1,1140
12.07.21,0,6,0,15065,14987,15361,1980,4080,79,48,194,27240,120,46,40,75,1,480
13.07.21,1,6,0,13422,11828,16621,2700,1500,69,51,173,25860,360,47,42,54,1,780
14.07.21,2,6,0,12051,9965,20099,3061,1680,71,44,164,,,,,,,
15.07.21,3,6,0,14127,11589,25021,4500,0,69,45,172,28380,120,48,41,63,0,180
16.07.21,4,6,0,10276,7618,27362,1380,0,63,45,107,33840,120,48,40,63,1,1500
17.07.21,5,6,0,11546,10149,14040,1440,3300,79,49,187,34740,120,48,41,68,2,1440
18.07.21,6,6,0,12862,10133,20761,720,4500,46,41,54,32340,120,48,43,59,1,840
19.07.21,0,6,0,14383,12067,18719,1681,2880,70,50,182,28320,240,45,41,54,0,240
20.07.21,1,6,0,13820,11725,17399,2160,3240,70,44,163,29040,120,46,41,53,0,120
21.07.21,2,6,0,14355,12651,15362,2040,3360,75,50,180,25020,120,47,40,73,0,3780
22.07.21,3,6,0,12164,9728,16801,5160,0,72,49,170,16380,120,,,,0,120
23.07.21,4,6,0,11624,11323,11219,2100,3240,65,42,201,,,,,,,
24.07.21,5,6,0,13524,11367,21122,1560,3360,59,39,170,26280,240,45,40,57,1,960
25.07.21,6,6,0,13412,9856,30182,360,0,74,45,141,28500,120,42,40,50,0,120
26.07.21,0,6,0,14394,12721,16802,2100,3720,68,39,186,25380,180,44,41,50,0,360
27.07.21,1,6,0,10199,7748,21778,2700,0,67,45,137,23880,120,44,39,57,1,420
28.07.21,2,6,0,14074,12807,17520,1441,3719,76,45,188,26640,120,45,41,54,1,900
29.07.21,3,6,0,14199,11811,16321,2100,3600,75,46,188,24360,180,47,41,88,2,1140
30.07.21,4,6,0,15461,13658,18120,2700,4020,76,48,180,30540,180,47,43,59,1,780
31.07.21,5,6,0,11017,10157,13801,0,4021,73,51,186,31860,120,48,42,95,1,720
01.08.21,6,7,0,13302,10227,22441,2460,1740,71,44,156,25320,120,43,39,49,1,600
02.08.21,0,7,0,8611,7599,13741,120,2400,77,43,180,,,,,,,
03.08.21,1,7,0,9320,7089,17223,2820,0,67,51,125,15480,120,52,46,80,6,3180
04.08.21,2,7,0,10056,8077,22380,600,2220,47,43,63,35760,120,46,39,59,4,2220
05.08.21,3,7,0,14227,11077,22082,4620,0,80,51,172,24420,180,42,38,48,0,300
06.08.21,4,7,0,10692,8031,7863,5100,0,69,39,164,,,,,,,
07.08.21,5,7,0,13403,10117,19679,4501,0,69,48,120,28920,120,49,41,65,1,1080
08.08.21,6,7,0,15394,12196,17401,5940,0,72,55,107,22080,120,53,44,68,0,540
09.08.21,0,7,0,25511,20681,17341,12780,0,88,57,183,26820,180,45,39,55,0,420
10.08.21,1,7,0,13001,10395,17820,5220,0,70,46,177,29400,120,45,40,55,1,960
11.08.21,2,7,0,10812,8209,24898,2160,0,70,50,166,22860,180,47,40,63,1,1500
12.08.21,3,7,0,14868,12169,14041,7321,0,74,54,119,24060,180,45,40,52,0,360
13.08.21,4,7,0,14229,12486,21840,2340,2580,82,53,198,24000,180,50,42,64,0,180
14.08.21,5,7,0,18228,15651,21781,3840,2340,84,47,190,28020,120,60,47,82,1,1200
15.08.21,6,7,0,13439,12048,13921,2340,3780,71,44,198,,,,,,,
16.08.21,0,7,0,17815,16473,14522,6360,2220,78,53,180,24360,660,52,42,71,1,960
17.08.21,1,7,0,10034,9090,10680,4500,2400,65,40,179,27780,120,48,42,55,0,300
18.08.21,2,7,0,13874,13368,13560,3360,3960,78,44,195,26460,120,45,41,51,1,840
19.08.21,3,7,0,15730,12741,16741,7020,0,72,53,125,21840,120,47,43,55,1,1080
20.08.21,4,7,0,17197,16383,18479,2341,4320,80,50,197,25980,120,45,40,53,0,120
21.08.21,5,7,0,13940,10904,29939,3001,0,78,57,132,27540,240,49,44,60,0,660
22.08.21,6,7,0,6555,5012,16621,1620,0,61,43,146,31080,120,47,43,53,0,240
23.08.21,0,7,0,14227,14527,9961,2221,4200,65,41,199,25200,120,45,39,65,0,180
24.08.21,1,7,0,10701,8573,16020,2761,2340,72,46,186,24660,240,43,40,48,1,1080
25.08.21,2,7,0,13195,12765,13981,1860,4320,76,48,193,28740,120,44,40,63,1,420
26.08.21,3,7,0,18822,18518,14221,6240,3780,79,49,196,20820,120,47,42,82,1,300
27.08.21,4,7,0,17511,14857,17040,7920,0,74,42,177,23940,120,48,43,53,0,120
28.08.21,5,7,0,13924,12651,20521,839,3660,80,44,183,27600,120,45,41,50,0,120
29.08.21,6,7,0,10221,7743,22680,1861,0,76,49,174,25860,120,69,58,104,4,4680
30.08.21,0,7,0,11285,10831,16142,899,3480,67,46,190,27000,120,46,41,82,0,120
31.08.21,1,7,0,15200,12615,14220,6540,2459,71,50,174,24540,120,45,41,54,0,120
01.09.21,2,8,0,15168,11669,32580,3360,0,86,43,169,22200,120,47,44,56,0,660
02.09.21,3,8,0,12875,12394,14460,2722,2880,72,47,190,25740,120,60,50,80,0,420
03.09.21,4,8,0,15106,11822,25261,4980,0,80,49,172,27180,120,47,41,57,0,360
04.09.21,5,8,0,14380,12556,19562,2220,1620,74,41,200,28020,180,46,40,59,0,300
05.09.21,6,8,0,9584,7389,19802,3481,0,72,49,174,35160,120,47,40,61,0,180
06.09.21,0,8,0,17627,17128,14460,3660,3840,82,43,194,24240,120,46,42,54,0,240
07.09.21,1,8,0,17333,15748,9121,6960,3180,75,48,193,21060,120,54,46,62,0,300
08.09.21,2,8,0,12821,11433,16261,3300,1980,83,54,195,22140,120,53,46,82,2,960
09.09.21,3,8,0,16417,16346,12422,4440,4020,74,52,183,22320,120,51,43,60,1,780
10.09.21,4,8,0,18523,14820,19501,7500,0,69,52,134,23700,120,52,44,64,1,600
11.09.21,5,8,0,23435,18152,28982,6420,0,89,51,165,30960,120,45,40,66,1,1740
12.09.21,6,8,0,10755,10379,13438,2101,2940,76,52,194,30180,180,50,45,60,0,540
13.09.21,0,8,0,12484,12407,15660,1200,4020,70,40,189,23100,120,,,,1,780
14.09.21,1,8,0,16697,15824,13081,4020,4080,78,45,198,25680,120,44,40,78,0,480
15.09.21,2,8,0,12733,10794,14579,4801,1920,87,51,195,28620,120,46,40,60,2,1200
16.09.21,3,8,0,18259,16660,11219,6300,3775,73,40,189,21240,240,53,43,65,0,240
17.09.21,4,8,0,19407,16784,19920,5821,1320,80,50,183,28380,240,44,40,50,0,360
18.09.21,5,8,0,20413,17144,20763,11040,0,68,46,111,,,,,,,
19.09.21,6,8,0,19193,15881,17701,9120,0,75,45,155,26160,240,56,46,92,1,1080
20.09.21,0,8,0,22173,12320,12420,3540,2231,78,50,194,26220,120,42,39,49,1,780
21.09.21,1,8,0,18636,15848,12300,11160,0,44,40,60,32160,120,46,40,64,2,1320
22.09.21,2,8,1,13306,10940,15481,3960,3621,75,51,175,28620,120,43,39,56,2,1140
23.09.21,3,8,1,22459,18329,14579,11807,0,77,45,185,28860,120,44,39,55,2,1140
24.09.21,4,8,1,16012,13162,14581,8460,0,68,51,105,25020,120,49,44,61,2,1440
25.09.21,5,8,1,15528,14011,19743,2579,3484,71,47,193,25260,120,44,40,56,1,300
26.09.21,6,8,1,14019,11714,13202,5400,2540,73,46,167,25020,120,48,45,57,0,180
27.09.21,0,8,1,14322,14416,10741,3960,3663,79,46,192,24840,240,46,40,51,0,240
28.09.21,1,8,1,11339,9490,13622,8281,3602,73,49,186,23340,120,47,42,53,0,300
29.09.21,2,8,1,12249,10260,12541,5399,0,68,46,114,25020,120,46,41,53,0,300
30.09.21,3,8,1,13095,12921,13440,3660,3311,73,49,189,29400,120,47,42,55,1,1260
01.10.21,4,9,1,8434,6622,13981,2280,0,72,46,122,22140,120,51,45,60,0,540
02.10.21,5,9,1,17582,16388,14640,3600,4268,82,53,198,24960,120,50,44,58,0,120
03.10.21,6,9,1,14927,11798,16141,5940,0,67,47,114,21240,180,53,45,64,0,180
