DATE,DAY_OF_THE_WEEK,MONTH,SEASON,ACTIVITY_steps,ACTIVITY_distance,ACTIVITY_soft,ACTIVITY_moderate,ACTIVITY_intense,ACTIVITY_hr_average,ACTIVITY_hr_min,ACTIVITY_hr_max,SLEEP_totalsleeptime,SLEEP_durationtosleep,SLEEP_hr_average,SLEEP_hr_min,SLEEP_hr_max,SLEEP_wakeupcount,SLEEP_wakeupduration
06.07.21,1,6,0,7989,6778,14641,2880,600,71,48,102,25440,120,66,55,88,4,1380
07.07.21,2,6,0,5269,4366,10981,1380,1622,74,44,149,30600,120,59,53,67,3,1320
08.07.21,3,6,0,8033,7424,10740,4020,3300,75,56,178,29160,120,62,55,75,2,1200
09.07.21,4,6,0,10278,9107,11039,5161,4501,77,50,185,30360,120,63,58,72,0,120
10.07.21,5,6,0,3822,4219,8700,180,10921,95,55,182,33120,120,60,50,74,2,1260
11.07.21,6,6,0,8550,8207,6841,3840,5281,78,51,134,32460,180,66,59,134,3,720
12.07.21,0,6,0,6950,6681,6899,2701,4440,70,43,177,18600,120,58,55,84,0,120
13.07.21,1,6,0,2372,2507,5760,240,3780,73,46,157,25440,120,60,54,69,1,420
14.07.21,2,6,0,6614,6005,8339,3242,660,70,49,127,24660,120,69,34,162,0,180
15.07.21,3,6,0,5321,5360,5641,1800,3960,71,48,122,22500,120,57,51,70,1,780
16.07.21,4,6,0,7731,6923,6601,3840,601,118,68,193,21600,240,64,56,74,0,300
17.07.21,5,6,0,16655,15109,7683,11100,2160,75,41,177,28680,180,60,50,78,0,180
18.07.21,6,6,0,13040,12235,4561,4380,11640,100,56,186,37440,240,59,52,162,3,3660
19.07.21,0,6,0,2301,2076,8523,420,2340,65,50,91,24240,120,62,46,162,3,1500
20.07.21,1,6,0,6914,6010,11537,3480,1320,74,45,133,29280,420,52,47,62,4,1200
21.07.21,2,6,0,1147,1083,8101,0,3480,71,45,132,26400,120,54,49,67,0,120
22.07.21,3,6,0,6510,6198,7740,2520,5640,72,40,140,27780,120,58,50,73,1,720
23.07.21,4,6,0,6055,5875,9361,2760,4320,75,61,198,25200,240,64,55,79,0,240
24.07.21,5,6,0,7353,6434,9240,4440,1140,72,49,137,42180,120,55,47,74,1,600
25.07.21,6,6,0,4379,5045,6841,660,15300,90,43,175,31260,120,58,51,69,0,480
26.07.21,0,6,0,4111,4169,11820,420,5520,70,53,109,20760,240,56,47,71,1,660
27.07.21,1,6,0,8316,7207,11162,4020,2580,67,50,142,28020,120,58,51,75,1,660
28.07.21,2,6,0,5553,4942,7920,3120,840,65,45,101,26880,120,59,53,70,3,1320
29.07.21,3,6,0,4257,3847,9481,1260,3060,72,47,133,24120,120,51,46,57,2,840
30.07.21,4,6,0,3218,3159,13201,540,5700,70,45,135,28980,120,55,47,65,3,1440
31.07.21,5,6,0,11337,9829,14101,5160,2760,72,51,114,23280,120,53,48,59,1,660
01.08.21,6,7,0,9372,8095,13620,3420,1500,70,48,91,33120,120,56,50,63,3,2220
02.08.21,0,7,0,3848,3137,14102,540,1320,64,45,119,23760,120,57,49,70,0,420
03.08.21,1,7,0,3973,3295,9300,1440,840,66,49,88,35760,240,54,48,69,3,1320
04.08.21,2,7,0,4308,3832,13560,1140,1380,68,47,101,39000,120,54,47,68,2,1080
05.08.21,3,7,0,3613,2911,9900,600,0,66,49,93,37620,120,54,49,64,2,840
06.08.21,4,7,0,10174,9056,10680,4921,2520,75,42,139,31140,720,57,48,68,2,1560
07.08.21,5,7,0,3386,3101,4320,1500,0,67,51,91,33300,120,66,57,83,1,1140
08.08.21,6,7,0,851,714,4561,0,0,71,53,99,36480,120,57,51,70,2,660
09.08.21,0,7,0,2507,2152,7440,780,900,75,44,167,34440,120,61,53,75,5,2760
10.08.21,1,7,0,8212,7832,4560,5160,0,78,44,122,38160,180,67,54,95,2,3360
11.08.21,2,7,0,6698,6277,6299,3420,1740,76,49,114,33600,600,66,60,77,1,1560
12.08.21,3,7,0,3672,3414,2521,1920,480,77,45,108,38340,120,74,63,92,3,2580
13.08.21,4,7,0,6234,6007,8521,2400,4260,68,51,95,28620,120,60,53,70,2,780
14.08.21,5,7,0,4438,3717,9001,899,2100,75,58,180,37920,120,59,51,78,1,420
15.08.21,6,7,0,11171,10426,8762,7139,2400,77,48,173,35580,120,59,55,67,1,540
16.08.21,0,7,0,1355,1297,7200,60,3240,68,51,85,38400,120,58,51,73,3,1260
17.08.21,1,7,0,2208,1973,9181,120,660,66,48,177,36780,180,55,50,66,1,780
18.08.21,2,7,0,10978,10094,7019,5881,4140,86,45,146,38280,120,54,45,60,0,420
19.08.21,3,7,0,7160,6586,5700,3720,5640,86,45,170,36420,120,72,56,90,2,2760
20.08.21,4,7,0,5237,4816,7261,2039,1200,71,54,117,34020,120,58,50,69,0,180
21.08.21,5,7,0,8977,8255,7679,5520,1560,77,39,196,34200,180,59,53,75,2,1140
22.08.21,6,7,0,9620,7970,7319,4201,2460,73,46,140,34080,120,58,51,66,2,840
23.08.21,0,7,0,5860,5019,10800,3000,1080,72,46,173,14820,120,61,50,76,3,1920
24.08.21,1,7,0,5962,5099,6479,3060,960,65,47,103,40980,120,56,49,76,3,1320
25.08.21,2,7,0,3740,4586,3121,1800,3360,66,48,137,37680,120,51,46,66,2,1200
26.08.21,3,7,0,3238,3106,7381,1080,3840,70,44,197,27240,120,53,45,70,0,360
27.08.21,4,7,0,2594,2831,6300,360,8460,60,57,66,37380,120,52,46,63,2,1320
28.08.21,5,7,0,9809,9030,7262,5040,4200,71,47,173,34260,240,55,46,72,2,960
29.08.21,6,7,0,1677,1839,3901,60,6540,62,43,80,41220,120,50,46,63,1,420
30.08.21,0,7,0,3837,3807,9119,781,3720,72,40,169,34980,120,50,44,78,2,1500
31.08.21,1,7,0,1531,1486,6840,60,2700,71,46,163,39060,300,51,46,68,2,1380
01.09.21,2,8,0,7814,6978,7920,4200,5340,73,44,163,32820,120,50,46,64,0,120
02.09.21,3,8,0,6727,5813,8520,3720,1320,72,50,110,37920,120,54,44,69,4,1560
