DATE,DAY_OF_THE_WEEK,MONTH,SEASON,ACTIVITY_steps,ACTIVITY_distance,ACTIVITY_soft,ACTIVITY_moderate,ACTIVITY_intense,ACTIVITY_hr_average,ACTIVITY_hr_min,ACTIVITY_hr_max,SLEEP_totalsleeptime,SLEEP_durationtosleep,SLEEP_hr_average,SLEEP_hr_min,SLEEP_hr_max,SLEEP_wakeupcount,SLEEP_wakeupduration
06.07.21,1,6,0,6767,4795,17100,1680,0,95,48,190,30240,120,73,57,108,3,1980
07.07.21,2,6,0,6328,4267,16860,241,0,95,50,150,30240,120,73,57,108,3,1980
08.07.21,3,6,0,2948,2041,12060,60,1920,102,58,140,,,,,,,
09.07.21,4,6,0,9652,6764,16381,2940,0,100,57,167,35700,120,73,60,154,2,720
10.07.21,5,6,0,7089,4865,14041,1740,0,91,56,137,24120,180,77,63,91,2,540
11.07.21,6,6,0,5798,3961,16681,840,780,90,50,144,41760,120,73,57,113,3,1020
12.07.21,0,6,0,8576,5840,16920,1021,0,99,70,180,23580,120,72,61,86,4,2580
13.07.21,1,6,0,4414,2999,13381,180,0,90,47,186,26640,120,74,61,98,0,120
14.07.21,2,6,0,5878,3955,16741,359,0,93,61,134,,,,,,,
15.07.21,3,6,0,9948,6996,16439,2460,0,90,52,121,33060,120,70,56,93,3,960
16.07.21,4,6,0,7437,5062,21359,360,0,100,52,152,24600,120,75,65,84,1,300
17.07.21,5,6,0,4363,2991,15841,300,0,93,50,189,20280,120,76,58,95,2,1500
18.07.21,6,6,0,3814,2621,16440,0,0,100,61,152,23460,120,72,64,79,2,900
19.07.21,0,6,0,9164,6447,19860,1200,961,94,46,121,,,,,,,
20.07.21,1,6,0,12109,8553,29221,840,2700,102,62,187,23460,120,73,63,152,4,1560
21.07.21,2,6,0,6950,4817,22799,480,1500,99,65,171,17280,120,85,76,157,1,420
22.07.21,3,6,0,3800,2643,13981,0,1560,91,53,126,19740,120,76,65,110,1,420
23.07.21,4,6,0,7205,4892,22441,180,660,94,52,192,26280,120,69,55,96,2,1140
24.07.21,5,6,0,11320,7891,20455,3660,0,103,58,169,,,,,,,
25.07.21,6,6,0,8405,5998,14940,2100,720,96,50,179,27360,120,75,64,86,2,720
26.07.21,0,6,0,7101,4780,17282,60,0,100,67,206,,,,,,,
27.07.21,1,6,0,14930,10537,16442,5820,0,100,43,173,21660,120,72,55,82,5,2040
28.07.21,2,6,0,7460,5143,20823,1260,0,99,44,139,24540,240,83,72,136,4,1860
29.07.21,3,6,0,1065,726,3840,0,0,82,48,118,25800,240,80,71,94,6,1980
30.07.21,4,6,0,3408,2430,6122,1080,600,84,44,188,19020,120,71,57,83,1,960
31.07.21,5,6,0,10848,7460,23521,1860,0,102,48,206,,,,,,,
01.08.21,6,7,0,5131,3476,11820,660,0,91,47,196,,,,,,,
02.08.21,0,7,0,6746,4673,14580,1860,660,100,47,141,,,,,,,
03.08.21,1,7,0,5417,3617,12783,180,660,99,57,148,34080,120,83,51,161,3,900
04.08.21,2,7,0,1930,1355,8099,61,0,88,50,173,35220,120,81,65,99,6,3600
05.08.21,3,7,0,7341,4909,12842,1020,0,98,42,150,32580,120,75,63,148,5,4200
06.08.21,4,7,0,3907,2727,13202,480,0,95,67,138,19500,120,72,60,81,4,2040
07.08.21,5,7,0,12477,8728,26880,1981,900,103,55,152,,,,,,,
08.08.21,6,7,0,3466,2382,14880,0,0,92,48,192,18780,120,89,84,97,1,960
09.08.21,0,7,0,2005,1395,8281,0,0,95,66,118,37860,120,80,48,122,7,5760
10.08.21,1,7,0,4545,3092,14341,120,0,105,68,191,34800,120,78,72,90,2,960
11.08.21,2,7,0,2064,1449,10320,0,0,98,48,185,26880,120,77,67,106,4,2580
12.08.21,3,7,0,4575,3134,17822,60,660,96,54,159,19920,120,78,65,102,2,1140
13.08.21,4,7,0,3527,2434,11280,60,0,100,55,199,32340,120,79,66,112,2,1260
14.08.21,5,7,0,1920,1353,8640,0,0,102,53,203,34320,120,77,58,102,5,4620
15.08.21,6,7,0,8124,5618,24662,840,0,95,45,172,,,,,,,
16.08.21,0,7,0,2432,1667,10440,0,0,94,52,151,22800,120,85,72,120,1,300
17.08.21,1,7,0,3936,2687,14103,0,0,98,54,183,,,,,,,
18.08.21,2,7,0,6147,4130,17403,480,0,105,54,177,26640,120,75,67,86,1,960
19.08.21,3,7,0,2374,1627,11701,0,0,92,67,133,39240,180,78,51,104,2,2340
20.08.21,4,7,0,3478,2332,11040,0,0,95,42,124,25200,120,76,60,96,3,2100
21.08.21,5,7,0,5211,3581,18782,60,1021,87,56,139,,,,,,,
22.08.21,6,7,0,2430,1773,9240,180,0,93,48,194,28260,120,75,58,106,4,1860
23.08.21,0,7,0,6618,4581,21000,780,0,96,55,137,26220,120,75,64,110,5,2940
24.08.21,1,7,0,2526,1708,10140,60,0,90,44,132,27240,120,77,68,117,4,1680
25.08.21,2,7,0,3002,2034,13741,0,0,89,43,140,24240,120,78,56,103,2,900
26.08.21,3,7,0,8585,6205,13680,3540,660,94,45,148,29760,120,71,63,79,0,240
27.08.21,4,7,0,4494,3110,14580,600,0,84,51,132,19920,120,72,64,79,1,300
28.08.21,5,7,0,6752,4605,17041,360,1440,82,47,150,21180,120,68,57,78,2,600
29.08.21,6,7,0,1679,1219,9181,60,1380,75,38,100,27720,120,62,48,90,2,1260
30.08.21,0,7,0,3769,2545,14760,60,0,87,65,193,38280,120,58,48,102,2,1260
31.08.21,1,7,0,1931,1302,7921,0,0,85,61,122,,,,,,,
01.09.21,2,8,0,5656,3794,20522,120,0,100,46,157,29160,120,62,54,72,1,540
02.09.21,3,8,0,3334,2266,11760,360,0,90,50,190,30060,120,65,48,87,5,1680
03.09.21,4,8,0,3941,2665,14221,60,0,95,56,193,28980,120,69,51,101,0,120
04.09.21,5,8,0,8140,5580,21844,0,2040,98,51,161,23520,180,66,53,83,2,1020
05.09.21,6,8,0,8110,5719,20401,1800,0,104,43,146,24420,120,83,76,95,3,1560
06.09.21,0,8,0,5434,3575,18362,60,0,95,42,157,28680,120,77,65,92,5,2340
07.09.21,1,8,0,7078,4675,17221,240,0,95,63,151,27540,120,73,53,91,5,3720
08.09.21,2,8,0,6366,4207,16083,0,1140,90,72,131,30720,1140,72,54,131,4,4140
09.09.21,3,8,0,3645,2387,12119,0,0,83,45,121,24840,120,73,59,103,6,4020
10.09.21,4,8,0,4538,3071,12181,60,0,86,64,121,36480,120,69,57,101,8,3960
11.09.21,5,8,0,7438,4982,17161,480,0,88,44,154,18480,120,71,57,111,1,960
12.09.21,6,8,0,2710,1851,10861,0,0,106,65,174,24600,120,70,50,89,9,4320
13.09.21,0,8,0,2039,1590,10562,180,0,89,46,148,32700,120,70,54,119,3,2220
14.09.21,1,8,0,1832,1258,10260,0,0,89,47,140,32340,120,70,58,81,6,3000
15.09.21,2,8,0,4962,3324,12720,180,0,97,50,186,26280,180,71,57,80,4,3120
16.09.21,3,8,0,3312,2295,17880,0,960,93,53,151,28440,120,73,58,84,3,3180
17.09.21,4,8,0,2604,1766,9960,0,0,97,46,137,40620,120,68,52,82,2,1320
18.09.21,5,8,0,7650,5378,17161,2280,1620,93,57,168,14820,120,73,64,86,1,780
19.09.21,6,8,0,2796,1935,14280,0,0,97,57,134,17220,120,80,64,113,1,1500
20.09.21,0,8,0,4186,3000,14399,121,1200,85,47,114,20160,120,75,63,99,2,2340
21.09.21,1,8,0,3740,2788,9780,60,1920,93,54,171,25800,120,73,54,94,0,180
22.09.21,2,8,1,3792,2795,14400,0,2340,94,54,126,32160,120,73,64,106,2,960
23.09.21,3,8,1,7093,5065,14342,359,3780,96,54,178,28320,240,78,69,96,6,2880
24.09.21,4,8,1,3486,2553,10261,60,1500,94,53,175,,,,,,,
25.09.21,5,8,1,7496,5154,22381,360,780,100,55,150,27000,120,68,48,106,4,1200
26.09.21,6,8,1,1642,1136,1260,840,0,115,87,196,,,,,,,
27.09.21,0,8,1,2612,1933,10079,0,1680,94,52,148,,,,,,,
28.09.21,1,8,1,3376,2289,10980,0,0,86,58,129,34920,120,75,66,117,3,1680
29.09.21,2,8,1,3208,2220,13680,60,780,96,66,188,,,,,,,
30.09.21,3,8,1,2762,1988,10261,0,1380,84,45,130,26040,120,68,53,76,4,1680
01.10.21,4,9,1,4295,3110,12301,60,2820,,,,26040,120,73,58,105,3,780
02.10.21,5,9,1,4736,3275,18181,120,1980,104,55,194,27960,120,82,72,104,6,1620
03.10.21,6,9,1,4751,3232,15719,421,0,91,51,137,20220,120,86,74,114,0,1020
04.10.21,0,9,1,3316,2608,9840,0,6900,105,56,188,23100,120,73,55,80,3,1920
05.10.21,1,9,1,5778,4111,18181,900,0,97,47,138,26820,120,79,66,104,3,2160
06.10.21,2,9,1,3475,2435,14880,0,2160,100,87,129,26820,120,80,62,103,3,960
07.10.21,3,9,1,2384,1642,11040,0,600,97,65,170,20760,120,76,65,87,1,360
08.10.21,4,9,1,4097,2821,18960,60,540,96,46,157,27120,240,82,71,110,1,540
09.10.21,5,9,1,4668,3271,18180,360,600,,,,18840,120,86,45,113,0,120
10.10.21,6,9,1,10594,7368,16801,1080,2040,109,54,147,19380,120,89,81,99,1,360
11.10.21,0,9,1,2854,2046,13081,0,2700,108,53,197,41460,120,74,44,95,4,3240
12.10.21,1,9,1,3711,2609,13740,60,2280,105,50,185,27840,120,85,71,93,2,1140
13.10.21,2,9,1,3614,2446,12659,60,720,92,50,156,27360,120,84,73,110,3,1920
14.10.21,3,9,1,2827,1946,11701,0,0,88,43,145,36480,120,80,58,108,3,2100
15.10.21,4,9,1,6835,4777,16980,1380,0,94,53,127,27660,120,78,71,95,1,660
16.10.21,5,9,1,10455,7197,19619,2281,0,104,54,199,,,,,,,
17.10.21,6,9,1,5263,3606,15002,480,660,86,52,124,24240,180,84,70,93,2,1080
18.10.21,0,9,1,1988,1417,8883,0,780,93,53,171,,,,,,,
19.10.21,1,9,1,3278,2279,14161,60,600,94,52,153,26400,120,80,71,102,4,1920
20.10.21,2,9,1,3646,2473,15240,0,0,96,62,172,27300,240,78,67,111,0,240
21.10.21,3,9,1,3899,2856,14100,180,3900,95,50,172,28140,120,78,55,91,2,1500
22.10.21,4,9,1,4925,3645,13862,0,6299,105,59,178,,,,,,,
23.10.21,5,9,1,7073,5494,13500,240,6301,89,77,115,35940,240,76,62,106,4,1620
24.10.21,6,9,1,6561,4731,11462,1440,2161,98,46,176,27241,120,80,71,89,3,2459
25.10.21,0,9,1,10871,8271,12840,5640,1620,93,48,151,32460,120,72,52,93,2,1620
26.10.21,1,9,1,13502,10595,13381,8362,2940,100,45,175,,,,,,,
27.10.21,2,9,1,8975,6615,16020,3916,1920,87,49,184,27600,120,73,66,89,3,2160
28.10.21,3,9,1,9388,6761,15303,3420,0,87,44,198,29760,180,74,65,90,6,3780
29.10.21,4,9,1,5722,3981,11760,1620,0,81,53,143,20580,120,65,55,75,4,2400
30.10.21,5,9,1,4280,3077,6421,1620,0,93,49,124,,,,,,,
31.10.21,6,9,1,3534,3105,10921,1020,0,95,47,164,40440,120,72,42,89,2,1500
01.11.21,0,10,1,4689,3248,12601,660,2460,98,50,189,31140,120,80,59,95,4,2460
