DATE,DAY_OF_THE_WEEK,MONTH,SEASON,ACTIVITY_steps,ACTIVITY_distance,ACTIVITY_soft,ACTIVITY_moderate,ACTIVITY_intense,ACTIVITY_hr_average,ACTIVITY_hr_min,ACTIVITY_hr_max,SLEEP_totalsleeptime,SLEEP_durationtosleep,SLEEP_hr_average,SLEEP_hr_min,SLEEP_hr_max,SLEEP_wakeupcount,SLEEP_wakeupduration
06.07.21,1,6,0,9574,9132,10501,5280,0,88,9,182,22020,120,73,60,88,2,1080
07.07.21,2,6,0,4949,3417,13498,541,0,78,62,121,30780,1200,63,54,109,1,3120
08.07.21,3,6,0,7090,5453,9000,3420,0,81,49,135,29760,120,62,51,81,0,120
09.07.21,4,6,0,15078,11598,11223,8879,0,88,60,168,30060,420,63,54,78,1,900
10.07.21,5,6,0,1037,852,4500,240,0,77,60,150,34560,120,64,54,89,1,1080
11.07.21,6,6,0,18417,14005,11582,8881,0,107,57,177,31320,120,68,55,93,2,1260
12.07.21,0,6,0,4687,3620,9540,1801,0,84,52,172,15420,120,67,57,77,2,1020
13.07.21,1,6,0,5063,4044,10200,900,3420,87,54,160,27600,120,66,56,89,1,540
14.07.21,2,6,0,10591,8205,11580,4500,0,82,49,177,24120,180,66,57,109,2,2940
15.07.21,3,6,0,3829,2907,8341,1379,0,78,53,123,31440,120,62,54,73,1,960
16.07.21,4,6,0,6700,4987,12662,2099,0,85,54,164,24540,180,62,55,84,0,180
17.07.21,5,6,0,14666,11482,4616,10381,0,94,58,125,30300,120,71,58,114,2,1800
18.07.21,6,6,0,9406,7809,6661,4140,4920,91,53,173,36660,120,73,60,116,3,4380
19.07.21,0,6,0,6132,4746,9180,3240,0,89,68,178,26520,120,69,59,118,5,3600
20.07.21,1,6,0,11074,8554,14342,5639,720,89,64,172,28020,120,68,58,93,2,1080
21.07.21,2,6,0,3411,2726,8160,1140,900,85,43,183,28380,180,66,58,89,0,300
22.07.21,3,6,0,24905,19044,11220,13500,4080,96,62,175,27060,120,70,60,83,2,600
23.07.21,4,6,0,7150,6034,7980,3660,1980,82,61,171,,,,,,,
24.07.21,5,6,0,7172,5538,7861,4320,0,83,58,120,42960,120,64,54,85,1,480
25.07.21,6,6,0,1555,1503,7801,0,3720,88,46,163,31380,120,64,56,76,0,540
26.07.21,0,6,0,5637,4229,13683,1980,0,84,61,104,24720,120,60,42,83,3,1860
27.07.21,1,6,0,8046,6011,6541,3660,0,83,49,162,40920,120,61,53,82,3,1140
28.07.21,2,6,0,5957,4463,6001,3060,0,58,54,62,32160,120,64,54,80,5,2280
29.07.21,3,6,0,1473,1084,4560,420,0,83,56,168,39300,120,61,50,94,3,4200
30.07.21,4,6,0,1849,1440,6480,660,0,75,45,110,35040,120,63,52,86,3,2580
31.07.21,5,6,0,15412,11640,15602,6960,0,89,54,172,23400,120,61,52,77,4,1440
01.08.21,6,7,0,13234,9768,16320,3420,2280,90,60,209,30780,120,59,54,67,1,660
02.08.21,0,7,0,2837,1991,11761,60,0,78,59,119,12840,120,68,58,84,0,780
03.08.21,1,7,0,1835,1270,8461,0,0,80,62,106,37380,120,62,52,96,0,360
04.08.21,2,7,0,3871,2695,12603,180,0,92,66,191,34680,120,63,54,93,4,3060
05.08.21,3,7,0,6648,4572,18663,240,0,87,60,114,31380,120,61,53,78,0,660
06.08.21,4,7,0,6779,4655,14220,781,0,88,63,173,17280,120,66,54,85,0,300
07.08.21,5,7,0,2651,1831,10560,0,0,86,61,170,34500,120,67,56,80,0,120
08.08.21,6,7,0,3430,2376,13562,60,0,88,54,129,30780,120,66,55,81,1,540
09.08.21,0,7,0,5755,3953,18481,240,0,91,60,123,27180,120,66,54,90,1,1320
10.08.21,1,7,0,5712,3951,15540,660,0,91,65,120,30780,120,65,56,90,1,900
11.08.21,2,7,0,2692,1851,12482,180,0,94,63,186,28800,120,71,62,112,3,2100
12.08.21,3,7,0,7325,5001,19500,420,0,92,51,162,26880,120,68,55,119,2,1620
13.08.21,4,7,0,6998,4749,15841,960,0,85,53,117,27420,120,67,62,76,0,120
