DATE,DAY_OF_THE_WEEK,MONTH,SEASON,ACTIVITY_steps,ACTIVITY_distance,ACTIVITY_soft,ACTIVITY_moderate,ACTIVITY_intense,ACTIVITY_hr_average,ACTIVITY_hr_min,ACTIVITY_hr_max,SLEEP_totalsleeptime,SLEEP_durationtosleep,SLEEP_hr_average,SLEEP_hr_min,SLEEP_hr_max,SLEEP_wakeupcount,SLEEP_wakeupduration
06.07.21,1,6,0,2854,2491,5099,960,0,79,59,116,26400,120,62,51,85,0,300
07.07.21,2,6,0,6016,5149,9060,1680,0,84,46,125,26400,120,62,51,85,0,300
08.07.21,3,6,0,5233,4385,7080,1680,0,82,55,116,19320,120,70,37,92,1,300
09.07.21,4,6,0,2741,2269,10982,120,0,85,49,131,37740,120,74,55,111,0,180
10.07.21,5,6,0,4057,3304,13321,120,0,91,51,191,27480,120,74,51,96,2,540
11.07.21,6,6,0,1629,1346,7260,0,0,83,47,169,28920,120,69,52,82,2,540
12.07.21,0,6,0,8501,7555,6121,4500,0,91,47,152,18300,120,73,62,101,5,1920
13.07.21,1,6,0,1298,1079,6000,0,0,85,68,109,32100,120,75,54,113,1,1320
14.07.21,2,6,0,4090,3295,10020,540,0,92,57,149,21960,120,75,62,99,0,720
15.07.21,3,6,0,6177,5182,11940,2040,0,90,45,116,38580,120,76,60,104,4,1740
16.07.21,4,6,0,3941,3210,12661,240,0,88,50,137,29640,120,74,62,95,2,1080
17.07.21,5,6,0,5406,4373,16200,420,0,91,68,122,28020,120,75,65,89,2,540
18.07.21,6,6,0,1830,1501,9481,0,0,88,69,114,27120,180,74,62,88,3,1020
19.07.21,0,6,0,2637,2163,7861,240,0,70,60,86,29700,120,74,60,90,0,120
20.07.21,1,6,0,2418,1998,8460,120,0,84,41,171,24420,120,74,63,89,1,900
21.07.21,2,6,0,5605,4595,8761,1860,0,93,51,140,26100,120,73,57,106,0,120
22.07.21,3,6,0,2724,2349,6781,900,0,91,74,135,28080,120,81,38,98,2,720
23.07.21,4,6,0,5668,4755,9481,1920,0,98,79,180,19740,120,88,79,110,4,1440
24.07.21,5,6,0,887,736,3780,0,0,90,66,114,29640,120,77,40,100,1,300
25.07.21,6,6,0,1036,843,3900,0,0,102,84,184,34320,120,92,76,114,5,3060
26.07.21,0,6,0,9259,7969,8999,4680,720,94,49,142,10740,120,83,78,92,2,480
27.07.21,1,6,0,1207,983,6300,0,0,91,58,143,12600,180,84,75,96,2,600
28.07.21,2,6,0,825,674,3840,0,0,86,74,101,31980,120,74,65,89,1,300
29.07.21,3,6,0,5303,4395,9419,1621,0,95,67,137,24180,120,72,53,100,0,120
30.07.21,4,6,0,4925,4423,10560,1920,0,71,61,84,27360,120,75,58,139,2,1080
31.07.21,5,6,0,3265,2661,7981,420,0,94,56,130,,,,,,,
01.08.21,6,7,0,10465,8974,9122,5280,0,73,55,101,28680,120,71,55,88,0,480
